"Ekl","Alter","N","Hg","H100","G","Dg","Dw","V","N_aus","G_aus","Dg_aus","V_aus","iV","GWL","dGZ"
-1,10,1658,6.8,8.5,13.4,6.1,6.5,0,0,0,0,0,7.9,0,1.7
-1,15,1091,12,13.7,20.2,13.5,13.2,79,0,0,0,0,17,98,6.6
-1,20,524,17.2,18.9,27,20.9,19.9,188,567,2.8,7.7,20,26.1,230,11.5
-1,25,275,21.5,23.6,33.2,29.6,26.6,306,249,4.4,13.4,40,31.3,386,15.5
-1,30,266,25.6,27.7,38.5,35.7,33.2,417,7,5.4,26.7,57,33.8,554,18.5
-1,35,269,28.8,31.1,42.8,40,39.6,517,0,6.1,41.1,71,34.8,727,20.9
-1,40,272,31.9,34.2,46.7,43.1,45.8,610,0,6.4,57.4,83,34.8,903,22.6
-1,45,262,34.6,36.9,49.7,46,51.9,692,10,6.5,63.3,89,34.4,1075,23.9
-1,50,241,36.9,39.5,52.5,49.3,57.9,768,23,6.3,57.7,93,33.8,1245,24.9
-1,55,210,39.1,41.7,54.6,52.9,63.7,835,28,6.2,51.7,96,32.8,1409,25.5
-1,60,181,41,43.7,56.7,57.1,69.2,897,29,6,50.7,97,31.9,1567,26.1
-1,65,155,42.8,45.5,58.2,61.5,74.6,955,26,5.7,53.5,98,30.9,1723,26.4
-1,70,135,44.6,47.2,59.8,65.8,79.9,1006,21,5.5,57.8,98,29.8,1872,26.7
-1,75,118,46.1,48.7,61,70,85,1053,16,5.3,62.5,96,28.9,2016,26.8
-1,80,106,47.5,50.2,61.8,74,90,1098,12,5.1,67,95,27.7,2154,27
-1,85,96,48.8,51.5,62.7,77.9,94.9,1137,10,5,71.4,94,26.8,2289,26.9
-1,90,85,50,52.7,63.3,81.7,99.4,1175,8,4.8,74.3,93,25.9,2419,26.8
-1,95,78,51.1,53.9,64,86.1,103.9,1211,9,4.5,74.5,90,25.1,2545,26.8
-1,100,70,52.2,55.2,64.4,90.1,108.5,1249,10,4.3,75.1,87,24.3,2673,26.8
-1,105,61,53.4,56.6,64.6,93.8,113.2,1288,11,4,75.3,84,23.5,2805,26.8
-1,110,51,54.6,58,64.7,97.2,117.9,1329,12,3.8,74.9,81,22.7,2939,26.8
-1,115,40,55.9,59.4,64.8,100.3,122.7,1372,13,3.5,74.4,79,21.8,3077,26.9
-1,120,29,57.2,60.8,64.9,103.4,127.5,1415,14,3.2,73.9,77,20.9,3215,27
-1,125,18,58.5,62.2,65,106.5,132.3,1458,15,2.9,73.4,75,20,3353,27.1
-1,130,7,59.8,63.6,65.1,109.6,137.1,1501,16,2.6,72.9,73,19.1,3491,27.2
-1,135,NA,61.1,65,65.2,112.7,141.9,1544,17,2.3,72.4,71,18.2,3629,27.3
-1,140,NA,62.4,66.4,65.3,115.8,146.7,1587,18,2,71.9,69,17.3,3767,27.4
-1,145,NA,63.7,67.8,65.4,118.9,151.5,1630,19,1.7,71.4,67,16.4,3905,27.5
-1,150,NA,65,69.2,65.5,122,156.3,1673,20,1.4,70.9,65,15.5,4043,27.6
-1,155,NA,66.3,70.6,65.6,125.1,161.1,1716,21,1.1,70.4,63,14.6,4181,27.7
-1,160,NA,67.6,72,65.7,128.2,165.9,1759,22,0.8,69.9,61,13.7,4319,27.8
0,10,2561,4.6,6.1,9.4,4.7,5.8,0,0,0,0,0,3.4,0,0.4
0,15,1815,9.4,11,16.1,10.6,11.9,55,0,0,0,0,12.1,67,4.5
0,20,1069,14.2,15.9,22.8,16.5,18,143,746,2.3,6.3,15,20.8,172,8.6
0,25,674,18.4,20.3,29,23.4,24,242,395,3.9,11.2,32,26.1,302,12.1
0,30,517,22.2,24.2,34.3,29,29.9,338,156,5,20.3,48,28.9,446,14.9
0,35,442,25.4,27.5,38.7,33.4,35.7,427,75,5.7,31,61,30.2,597,17.1
0,40,401,28.3,30.5,42.5,36.7,41.3,510,41,6,43.2,71,30.6,751,18.8
0,45,371,30.9,33.1,45.6,39.6,46.8,585,30,6.1,50.7,77,30.5,903,20.1
0,50,343,33.1,35.5,48.3,42.4,52.2,654,29,6,51.7,81,30.1,1054,21.1
0,55,313,35.2,37.6,50.5,45.3,57.5,717,29,5.9,50.4,84,29.4,1201,21.8
0,60,284,37,39.5,52.5,48.5,62.6,775,29,5.7,49.9,85,28.7,1344,22.4
0,65,257,38.7,41.2,54.1,51.8,67.6,829,27,5.5,51.1,86,27.9,1484,22.8
0,70,233,40.3,42.8,55.6,55.1,72.5,878,24,5.3,53.3,86,27,1619,23.1
0,75,212,41.7,44.2,56.8,58.4,77.3,923,21,5.1,55.9,85,26.2,1750,23.3
0,80,194,43,45.6,57.7,61.6,82,966,18,4.9,58.7,84,25.3,1876,23.5
0,85,178,44.2,46.8,58.5,64.7,86.6,1005,16,4.8,61.7,83,24.5,1999,23.5
0,90,163,45.3,47.9,59.1,67.8,91,1042,14,4.6,63.8,82,23.7,2118,23.5
0,95,150,46.3,49,59.8,71.3,95.4,1077,14,4.4,64.1,80,23,2233,23.5
0,100,137,47.3,50.1,60.5,74.8,99.8,1112,14,4.2,64.4,78,22.3,2348,23.5
0,105,124,48.3,51.2,61.2,78.3,104.2,1147,14,4,64.7,76,21.6,2463,23.5
0,110,111,49.3,52.3,61.9,81.8,108.6,1182,14,3.8,65,74,20.9,2578,23.5
0,115,98,50.3,53.4,62.6,85.3,113,1217,14,3.6,65.3,72,20.2,2693,23.5
0,120,85,51.3,54.5,63.3,88.8,117.4,1252,14,3.4,65.6,70,19.5,2808,23.5
0,125,72,52.3,55.6,64,92.3,121.8,1287,14,3.2,65.9,68,18.8,2923,23.5
0,130,59,53.3,56.7,64.7,95.8,126.2,1322,14,3,66.2,66,18.1,3038,23.5
0,135,46,54.3,57.8,65.4,99.3,130.6,1357,14,2.8,66.5,64,17.4,3153,23.5
0,140,33,55.3,58.9,66.1,102.8,135,1392,14,2.6,66.8,62,16.7,3268,23.5
0,145,20,56.3,60,66.8,106.3,139.4,1427,14,2.4,67.1,60,16,3383,23.5
0,150,7,57.3,61.1,67.5,109.8,143.8,1462,14,2.2,67.4,58,15.3,3498,23.5
0,155,NA,58.3,62.2,68.2,113.3,148.2,1497,14,2,67.7,56,14.6,3613,23.5
0,160,NA,59.3,63.3,68.9,116.8,152.6,1532,14,1.8,68,54,13.9,3728,23.5
1,10,3464,2.4,3.7,5.4,3.3,5.1,0,0,0,0,0,0,0,0
1,15,2539,6.8,8.3,12,7.7,10.6,31,0,0,0,0,7.2,36,2.4
1,20,1614,11.2,12.9,18.6,12.1,16.1,98,925,1.8,4.9,10,15.5,114,5.7
1,25,1073,15.3,17,24.8,17.2,21.4,178,541,3.4,9,24,20.9,218,8.7
1,30,768,18.8,20.7,30.1,22.3,26.6,259,305,4.6,13.9,39,24,338,11.3
1,35,615,22,23.9,34.6,26.8,31.8,337,154,5.3,20.9,51,25.6,467,13.3
1,40,530,24.7,26.8,38.3,30.3,36.8,410,85,5.6,29,59,26.4,599,15
1,45,480,27.2,29.3,41.5,33.2,41.7,478,50,5.7,38.1,65,26.6,731,16.3
1,50,445,29.3,31.5,44.1,35.5,46.5,540,35,5.7,45.7,69,26.4,863,17.3
1,55,416,31.3,33.5,46.4,37.7,51.3,599,30,5.6,49.1,72,26,993,18.1
1,60,387,33,35.3,48.3,39.9,56,653,29,5.4,49.1,73,25.5,1121,18.7
1,65,359,34.6,36.9,50,42.1,60.6,703,28,5.3,48.7,74,24.9,1245,19.2
1,70,331,36,38.4,51.4,44.4,65.1,750,27,5.1,48.8,74,24.2,1366,19.5
1,75,306,37.3,39.7,52.6,46.8,69.6,793,26,4.9,49.3,74,23.5,1484,19.8
1,80,282,38.5,41,53.6,49.2,74,834,24,4.7,50.4,73,22.9,1598,20
1,85,260,39.6,42.1,54.3,51.5,78.3,873,22,4.6,52,72,22.2,1709,20.1
1,90,241,40.6,43.1,54.9,53.9,82.6,909,20,4.4,53.3,71,21.5,1817,20.2
1,95,222,41.5,44.1,55.6,56.5,86.9,943,19,4.3,53.7,70,20.9,1921,20.2
1,100,204,42.4,45,56.6,59.5,91.1,975,18,4.1,53.7,69,20.3,2023,20.2
1,105,187,43.2,45.8,57.8,62.8,95.2,1006,17,4,54.1,68,19.7,2121,20.2
1,110,171,44,46.6,59.1,66.4,99.3,1035,16,3.8,55.1,67,19.1,2217,20.2
1,115,156,44.7,47.4,60.4,70.3,103.3,1062,15,3.7,56.2,65,18.6,2309,20.1
1,120,141,45.4,48.2,61.7,74.2,107.3,1089,14,3.6,57.3,63,18.1,2401,20
1,125,126,46.1,49,63,78.1,111.3,1116,13,3.5,58.4,61,17.6,2493,19.9
1,130,111,46.8,49.8,64.3,82,115.3,1143,12,3.4,59.5,59,17.1,2585,19.8
1,135,96,47.5,50.6,65.6,85.9,119.3,1170,11,3.3,60.6,57,16.6,2677,19.7
1,140,81,48.2,51.4,66.9,89.8,123.3,1197,10,3.2,61.7,55,16.1,2769,19.6
1,145,66,48.9,52.2,68.2,93.7,127.3,1224,9,3.1,62.8,53,15.6,2861,19.5
1,150,51,49.6,53,69.5,97.6,131.3,1251,8,3,63.9,51,15.1,2953,19.4
1,155,36,50.3,53.8,70.8,101.5,135.3,1278,7,2.9,65,49,14.6,3045,19.3
1,160,21,51,54.6,72.1,105.4,139.3,1305,6,2.8,66.1,47,14.1,3137,19.2
2,10,3573,0.9,2.3,2.1,1.2,4.9,0,1850,0,0,0,0,0,0
2,15,2890,4.7,6.2,8.3,5.2,9.6,0,1461,0,0,0,4.8,0,0.8
2,20,2207,8.5,10.1,14.5,9.2,14.3,59,1072,1,3.4,5,10.3,66,3.3
2,25,1524,12.3,14,20.7,13.2,19,122,683,2.7,7.1,16,15.8,145,5.8
2,30,1103,15.6,17.4,26,17.3,23.6,188,420,4,11.1,29,19.2,241,8
2,35,850,18.6,20.5,30.5,21.4,28.1,254,253,4.8,15.5,40,21.1,346,9.9
2,40,700,21.2,23.2,34.2,24.9,32.5,317,150,5.2,21,48,22.2,457,11.4
2,45,609,23.5,25.5,37.4,27.9,36.8,376,91,5.3,27.3,54,22.6,570,12.7
2,50,553,25.5,27.6,40,30.4,41.1,432,57,5.3,34.5,58,22.7,684,13.7
2,55,513,27.4,29.5,42.3,32.4,45.3,485,39,5.2,41.3,60,22.5,797,14.5
2,60,482,29,31.2,44.2,34.2,49.5,534,31,5.1,46,62,22.2,908,15.1
2,65,456,30.4,32.7,45.9,35.8,53.7,581,27,5,48.7,63,21.8,1017,15.6
2,70,431,31.7,34,47.3,37.4,57.9,624,25,4.8,49.9,63,21.3,1123,16
2,75,407,32.9,35.2,48.5,38.9,62,666,24,4.7,50,63,20.8,1228,16.4
2,80,384,34,36.4,49.5,40.5,66.1,705,23,4.5,50,62,20.3,1329,16.6
2,85,362,35,37.4,50.2,42,70.1,742,22,4.4,50.3,62,19.8,1428,16.8
2,90,341,35.9,38.3,50.8,43.5,74.2,776,21,4.2,50.2,61,19.2,1524,16.9
2,95,320,36.8,39.2,51.5,45.3,78.2,810,21,4.1,49.4,60,18.7,1618,17
2,100,299,37.6,40,52.5,47.3,82.2,841,21,3.9,48.6,59,18.2,1709,17.1
2,105,278,38.3,40.7,53.7,49.6,86.2,871,21,3.8,48.3,58,17.7,1797,17.1
2,110,259,39,41.4,55,52,90.1,900,20,3.7,48.8,57,17.2,1883,17.1
2,115,240,39.6,42.1,56.3,54.6,94.1,928,18,3.6,49.5,56,16.8,1967,17.1
2,120,223,40.2,42.7,57.5,57.4,98,954,17,3.4,50.2,55,16.3,2048,17.1
2,125,206,40.8,43.3,58.7,60.2,101.9,980,16,3.2,50.9,54,15.8,2129,17.1
2,130,189,41.4,43.9,59.9,63,105.8,1006,15,3,51.6,53,15.3,2210,17.1
2,135,172,42,44.5,61.1,65.8,109.7,1032,14,2.8,52.3,52,14.8,2291,17.1
2,140,155,42.6,45.1,62.3,68.6,113.6,1058,13,2.6,53,51,14.3,2372,17.1
2,145,138,43.2,45.7,63.5,71.4,117.5,1084,12,2.4,53.7,50,13.8,2453,17.1
2,150,121,43.8,46.3,64.7,74.2,121.4,1110,11,2.2,54.4,49,13.3,2534,17.1
2,155,104,44.4,46.9,65.9,77,125.3,1136,10,2,55.1,48,12.8,2615,17.1
2,160,87,45,47.5,67.1,79.8,129.2,1162,9,1.8,55.8,47,12.3,2696,17.1
3,15,3640,2.8,4.2,4.2,3.4,8.4,0,1502,0,0,0,0,0,0
3,20,2836,6.2,7.7,10.4,6.8,12.6,29,1153,0,0.7,0,5.4,28,1.4
3,25,2032,9.6,11.2,16.6,10.2,16.8,74,804,1.6,5,8,10.8,82,3.3
3,30,1503,12.7,14.4,21.9,13.6,20.7,127,529,3.2,8.8,20,14.5,154,5.1
3,35,1160,15.5,17.2,26.3,17,24.6,180,343,4.2,12.4,30,16.7,238,6.8
3,40,938,17.9,19.7,30.1,20.2,28.4,233,222,4.6,16.3,37,18,328,8.2
3,45,794,20,21.9,33.3,23.1,32.2,284,144,4.8,20.7,43,18.7,422,9.4
3,50,699,21.9,23.9,35.9,25.6,35.9,332,95,4.9,25.6,47,19,517,10.3
3,55,634,23.6,25.6,38.1,27.7,39.6,378,65,4.9,31,49,19.1,612,11.1
3,60,588,25,27.1,40.1,29.5,43.4,422,46,4.8,36.3,51,18.9,707,11.8
3,65,553,26.4,28.5,41.8,31,47.1,464,35,4.6,41.3,52,18.7,800,12.3
3,70,526,27.5,29.7,43.2,32.3,50.8,504,28,4.5,45.7,52,18.4,892,12.7
3,75,502,28.6,30.8,44.4,33.5,54.5,542,23,4.4,48.9,52,18,982,13.1
3,80,482,29.6,31.8,45.4,34.6,58.2,578,21,4.2,51,52,17.6,1070,13.4
3,85,463,30.5,32.7,46.1,35.6,61.9,613,19,4.1,52.5,52,17.2,1157,13.6
3,90,445,31.3,33.5,46.7,36.6,65.7,646,18,4,52.8,51,16.8,1241,13.8
3,95,426,32,34.3,47.4,37.6,69.4,677,19,3.8,51.3,50,16.4,1323,13.9
3,100,407,32.7,35,48.4,38.9,73.2,708,19,3.7,49.3,50,16,1403,14
3,105,387,33.3,35.6,49.6,40.4,76.9,737,20,3.6,48.3,49,15.6,1481,14.1
3,110,368,33.9,36.2,50.9,42,80.7,764,19,3.5,48,48,15.2,1557,14.2
3,115,349,34.5,36.8,52.1,43.6,84.5,791,19,3.4,48.2,47,14.8,1631,14.2
3,120,331,35,37.3,53.4,45.3,88.2,817,18,3.3,48.3,46,14.5,1703,14.2
3,125,313,35.5,37.8,54.7,47,91.9,843,17,3.2,48.4,45,14.2,1775,14.2
3,130,295,36,38.3,56,48.7,95.6,869,16,3.1,48.5,44,13.9,1847,14.2
3,135,277,36.5,38.8,57.3,50.4,99.3,895,15,3,48.6,43,13.6,1919,14.2
3,140,259,37,39.3,58.6,52.1,103,921,14,2.9,48.7,42,13.3,1991,14.2
3,145,241,37.5,39.8,59.9,53.8,106.7,947,13,2.8,48.8,41,13,2063,14.2
3,150,223,38,40.3,61.2,55.5,110.4,973,12,2.7,48.9,40,12.7,2135,14.2
3,155,205,38.5,40.8,62.5,57.2,114.1,999,11,2.6,49,39,12.4,2207,14.2
3,160,187,39,41.3,63.8,58.9,117.8,1025,10,2.5,49.1,38,12.1,2279,14.2
